symbol,tp_pips,sl_pips,trades,wr,exp_usd,pnl_usd,spread,rt_usd,tp_usd,pip_usd,bars
GBPTRY,2,20,7136,40.2,-0.0233,-166.62,0.0,0.0,0.0042,0.0021,14410
GBPPLN,3,30,6720,39.97,-0.4498,-3022.77,0.0,0.0,0.0803,0.0268,14410
GBPPLN,1,20,6948,32.35,-0.3534,-2455.21,0.0,0.0,0.0268,0.0268,14410
GBPPLN,2,20,6886,31.69,-0.3486,-2400.73,0.0,0.0,0.0535,0.0268,14410
NZDHUF,2,40,7184,16.61,-0.0105,-75.08,0.0,0.0,0.0006,0.0003,14410
CHFHUF,2,40,7188,15.73,-0.0106,-75.94,0.0,0.0,0.0006,0.0003,14410
CHFHUF,3,30,7188,14.07,-0.008,-57.67,0.0,0.0,0.0009,0.0003,14410
CHFHUF,2,30,7188,14.07,-0.0081,-57.99,0.0,0.0,0.0006,0.0003,14410
CHFHUF,1,30,7188,14.07,-0.0081,-58.31,0.0,0.0,0.0003,0.0003,14410
AUDHUF,2,40,7183,13.45,-0.0109,-78.07,0.0,0.0,0.0006,0.0003,14410
CHFHUF,2,20,7188,13.27,-0.0054,-38.85,0.0,0.0,0.0006,0.0003,14410
CHFHUF,1,20,7188,13.27,-0.0054,-39.15,0.0,0.0,0.0003,0.0003,14410
NZDHUF,3,30,7185,12.8,-0.0082,-58.6,0.0,0.0,0.0009,0.0003,14410
NZDHUF,2,30,7185,12.8,-0.0082,-58.89,0.0,0.0,0.0006,0.0003,14410
NZDHUF,1,30,7185,12.8,-0.0082,-59.18,0.0,0.0,0.0003,0.0003,14410
NZDHUF,2,20,7187,10.64,-0.0056,-40.16,0.0,0.0,0.0006,0.0003,14410
NZDHUF,1,20,7187,10.64,-0.0056,-40.4,0.0,0.0,0.0003,0.0003,14410
AUDHUF,3,30,7184,10.31,-0.0084,-60.46,0.0,0.0,0.0009,0.0003,14410
AUDHUF,2,30,7184,10.31,-0.0084,-60.69,0.0,0.0,0.0006,0.0003,14410
AUDHUF,1,30,7184,10.31,-0.0085,-60.92,0.0,0.0,0.0003,0.0003,14410
AUDHUF,2,20,7184,8.64,-0.0057,-41.14,0.0,0.0,0.0006,0.0003,14410
AUDHUF,1,20,7184,8.64,-0.0058,-41.34,0.0,0.0,0.0003,0.0003,14410
