symbol,tag,trades,win_rate,profit_factor,expectancy_r,net_pnl,max_dd_pct,final_equity,params
EURUSD=X,search:book_optimal,31,32.26,0.402,-0.137,-1214.81,12.15,8785.19,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 25, 'atr_sl_mult': 1.5, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,32,34.38,0.466,-0.085,-1126.11,11.93,8873.89,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 25, 'atr_sl_mult': 2.0, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,32,34.38,0.466,-0.085,-1126.11,11.93,8873.89,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 25, 'atr_sl_mult': 2.0, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,47,34.04,0.395,-0.138,-2037.8,20.38,7962.2,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,49,34.69,0.421,-0.111,-1969.91,19.7,8030.09,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,47,40.43,0.563,0.01,-1281.13,12.81,8718.87,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,47,40.43,0.568,0.01,-1258.35,12.58,8741.65,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,49,40.82,0.62,0.042,-1194.73,11.95,8805.27,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,49,40.82,0.62,0.042,-1194.73,11.95,8805.27,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,33,33.33,0.412,-0.113,-1307.77,13.21,8692.23,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 25, 'atr_sl_mult': 1.2, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,33,33.33,0.412,-0.113,-1307.77,13.21,8692.23,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 25, 'atr_sl_mult': 1.2, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,32,34.38,0.446,-0.085,-1139.87,11.4,8860.13,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 25, 'atr_sl_mult': 1.5, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,32,34.38,0.451,-0.085,-1116.73,11.39,8883.27,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 25, 'atr_sl_mult': 1.5, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,33,36.36,0.518,-0.037,-1018.53,11.12,8981.47,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 25, 'atr_sl_mult': 2.0, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,33,36.36,0.518,-0.037,-1018.53,11.12,8981.47,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 25, 'atr_sl_mult': 2.0, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,7,42.86,0.925,0.243,-30.56,2.77,9969.44,"{'min_rr': 1.5, 'book_min_triggers': 2, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,7,42.86,0.925,0.243,-30.56,2.77,9969.44,"{'min_rr': 1.5, 'book_min_triggers': 2, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,7,42.86,0.925,0.243,-30.56,2.77,9969.44,"{'min_rr': 1.5, 'book_min_triggers': 2, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,7,42.86,0.925,0.243,-30.56,2.77,9969.44,"{'min_rr': 1.5, 'book_min_triggers': 2, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,7,42.86,0.925,0.243,-30.56,2.77,9969.44,"{'min_rr': 1.5, 'book_min_triggers': 2, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,7,42.86,0.925,0.243,-30.56,2.77,9969.44,"{'min_rr': 1.5, 'book_min_triggers': 2, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,9,33.33,0.53,-0.033,-322.91,3.23,9677.09,"{'min_rr': 1.5, 'book_min_triggers': 2, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,9,33.33,0.53,-0.033,-322.91,3.23,9677.09,"{'min_rr': 1.5, 'book_min_triggers': 2, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,9,33.33,0.53,-0.033,-322.91,3.23,9677.09,"{'min_rr': 1.5, 'book_min_triggers': 2, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,9,33.33,0.53,-0.033,-322.91,3.23,9677.09,"{'min_rr': 1.5, 'book_min_triggers': 2, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,9,33.33,0.53,-0.033,-322.91,3.23,9677.09,"{'min_rr': 1.5, 'book_min_triggers': 2, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,9,33.33,0.53,-0.033,-322.91,3.23,9677.09,"{'min_rr': 1.5, 'book_min_triggers': 2, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,44,29.55,0.403,-0.172,-2032.43,20.32,7967.57,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,44,29.55,0.403,-0.172,-2032.43,20.32,7967.57,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,47,34.04,0.528,-0.047,-1609.83,17.96,8390.17,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,47,34.04,0.528,-0.047,-1609.83,17.96,8390.17,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,46,34.78,0.57,-0.03,-1358.52,14.8,8641.48,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,46,34.78,0.57,-0.03,-1358.52,14.8,8641.48,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,32,25.0,0.294,-0.278,-1745.71,17.46,8254.29,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 25, 'atr_sl_mult': 1.2, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,32,25.0,0.294,-0.278,-1745.71,17.46,8254.29,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 25, 'atr_sl_mult': 1.2, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,32,31.25,0.475,-0.091,-1181.17,13.18,8818.83,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 25, 'atr_sl_mult': 1.5, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,32,31.25,0.475,-0.091,-1181.17,13.18,8818.83,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 25, 'atr_sl_mult': 1.5, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,31,25.81,0.343,-0.231,-1449.22,14.49,8550.78,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 25, 'atr_sl_mult': 2.0, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,31,25.81,0.343,-0.231,-1449.22,14.49,8550.78,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 25, 'atr_sl_mult': 2.0, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,42,28.57,0.368,-0.204,-2068.25,20.68,7931.75,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,42,28.57,0.368,-0.204,-2068.25,20.68,7931.75,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,49,34.69,0.545,-0.025,-1597.29,16.64,8402.71,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,49,34.69,0.545,-0.025,-1597.29,16.64,8402.71,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,48,35.42,0.586,-0.008,-1355.97,13.56,8644.03,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,48,35.42,0.586,-0.008,-1355.97,13.56,8644.03,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,33,27.27,0.346,-0.209,-1620.21,16.22,8379.79,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 25, 'atr_sl_mult': 1.2, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,33,27.27,0.346,-0.209,-1620.21,16.22,8379.79,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 25, 'atr_sl_mult': 1.2, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,33,33.33,0.539,-0.027,-1038.62,12.06,8961.38,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 25, 'atr_sl_mult': 1.5, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,33,33.33,0.539,-0.027,-1038.62,12.06,8961.38,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 25, 'atr_sl_mult': 1.5, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,32,28.12,0.407,-0.161,-1310.15,13.55,8689.85,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 25, 'atr_sl_mult': 2.0, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,32,28.12,0.407,-0.161,-1310.15,13.55,8689.85,"{'min_rr': 2.0, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 25, 'atr_sl_mult': 2.0, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,7,42.86,1.287,0.457,117.88,2.69,10117.88,"{'min_rr': 2.0, 'book_min_triggers': 2, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,7,42.86,1.287,0.457,117.88,2.69,10117.88,"{'min_rr': 2.0, 'book_min_triggers': 2, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,7,42.86,1.287,0.457,117.88,2.69,10117.88,"{'min_rr': 2.0, 'book_min_triggers': 2, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,7,42.86,1.287,0.457,117.88,2.69,10117.88,"{'min_rr': 2.0, 'book_min_triggers': 2, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,7,42.86,1.287,0.457,117.88,2.69,10117.88,"{'min_rr': 2.0, 'book_min_triggers': 2, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,7,42.86,1.287,0.457,117.88,2.69,10117.88,"{'min_rr': 2.0, 'book_min_triggers': 2, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,9,33.33,0.741,0.133,-178.82,2.93,9821.18,"{'min_rr': 2.0, 'book_min_triggers': 2, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,9,33.33,0.741,0.133,-178.82,2.93,9821.18,"{'min_rr': 2.0, 'book_min_triggers': 2, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,9,33.33,0.741,0.133,-178.82,2.93,9821.18,"{'min_rr': 2.0, 'book_min_triggers': 2, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,9,33.33,0.741,0.133,-178.82,2.93,9821.18,"{'min_rr': 2.0, 'book_min_triggers': 2, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,9,33.33,0.741,0.133,-178.82,2.93,9821.18,"{'min_rr': 2.0, 'book_min_triggers': 2, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,9,33.33,0.741,0.133,-178.82,2.93,9821.18,"{'min_rr': 2.0, 'book_min_triggers': 2, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 2.0}"
