2026-08-24T19:56:33+01:00 optimizer supervisor down; starting
2026-08-24T20:16:35+01:00 optimizer supervisor down; starting
2026-08-24T20:36:36+01:00 optimizer supervisor down; starting
2026-08-24T22:40:54+03:00 paper runner down; starting config_mt5_demo_firehose_hw.yaml
2026-08-24T22:40:54+03:00 optimizer supervisor down; starting
2026-08-24T20:56:38+01:00 optimizer supervisor down; starting
2026-08-24T21:16:39+01:00 optimizer supervisor down; starting
2026-08-24T23:23:55+03:00 optimizer supervisor down; starting
2026-08-24T23:26:08+03:00 paper runner down; starting config_mt5_demo_firehose_hw.yaml
2026-08-24T23:26:08+03:00 optimizer supervisor down; starting
2026-08-24T21:36:41+01:00 optimizer supervisor down; starting
2026-08-24T21:56:42+01:00 optimizer supervisor down; starting
2026-08-24T22:16:44+01:00 optimizer supervisor down; starting
2026-08-24T22:36:46+01:00 optimizer supervisor down; starting
2026-08-24T22:56:48+01:00 optimizer supervisor down; starting
2026-08-24T23:16:49+01:00 optimizer supervisor down; starting
2026-08-24T23:36:51+01:00 optimizer supervisor down; starting
2026-08-24T23:56:52+01:00 optimizer supervisor down; starting
2026-08-25T00:16:54+01:00 optimizer supervisor down; starting
2026-08-25T00:36:56+01:00 optimizer supervisor down; starting
2026-08-25T00:56:57+01:00 optimizer supervisor down; starting
2026-08-25T01:16:59+01:00 optimizer supervisor down; starting
2026-08-25T01:37:00+01:00 optimizer supervisor down; starting
2026-08-25T01:57:02+01:00 optimizer supervisor down; starting
2026-08-25T02:17:03+01:00 optimizer supervisor down; starting
2026-08-25T02:37:05+01:00 optimizer supervisor down; starting
2026-08-25T02:57:06+01:00 optimizer supervisor down; starting
2026-08-25T03:17:08+01:00 optimizer supervisor down; starting
2026-08-25T03:37:10+01:00 optimizer supervisor down; starting
2026-08-25T03:57:12+01:00 optimizer supervisor down; starting
2026-08-25T04:17:14+01:00 optimizer supervisor down; starting
2026-08-25T04:37:15+01:00 optimizer supervisor down; starting
2026-08-25T04:57:17+01:00 optimizer supervisor down; starting
2026-08-25T05:17:18+01:00 optimizer supervisor down; starting
2026-08-25T05:37:20+01:00 optimizer supervisor down; starting
2026-08-25T05:57:21+01:00 optimizer supervisor down; starting
2026-08-25T06:17:23+01:00 optimizer supervisor down; starting
2026-08-25T06:37:24+01:00 optimizer supervisor down; starting
2026-08-25T06:57:27+01:00 optimizer supervisor down; starting
2026-08-25T07:17:29+01:00 optimizer supervisor down; starting
2026-08-25T07:37:30+01:00 optimizer supervisor down; starting
2026-08-25T07:57:32+01:00 optimizer supervisor down; starting
2026-08-25T08:17:33+01:00 optimizer supervisor down; starting
2026-08-25T08:37:35+01:00 optimizer supervisor down; starting
2026-08-25T08:57:37+01:00 optimizer supervisor down; starting
2026-08-25T09:17:39+01:00 optimizer supervisor down; starting
2026-08-25T09:37:40+01:00 optimizer supervisor down; starting
2026-08-25T09:57:42+01:00 optimizer supervisor down; starting
2026-08-25T10:17:43+01:00 optimizer supervisor down; starting
2026-08-25T10:37:45+01:00 optimizer supervisor down; starting
2026-08-25T10:57:47+01:00 optimizer supervisor down; starting
2026-08-25T11:17:48+01:00 paper runner down; starting config_mt5_demo_firehose_hw.yaml
2026-08-25T11:17:48+01:00 optimizer supervisor down; starting
2026-08-25T11:37:50+01:00 optimizer supervisor down; starting
2026-08-25T11:57:52+01:00 optimizer supervisor down; starting
2026-08-25T12:17:53+01:00 optimizer supervisor down; starting
2026-08-25T12:37:55+01:00 optimizer supervisor down; starting
2026-08-25T12:57:56+01:00 optimizer supervisor down; starting
2026-08-25T13:17:58+01:00 optimizer supervisor down; starting
2026-08-25T13:37:59+01:00 optimizer supervisor down; starting
2026-08-25T13:58:01+01:00 optimizer supervisor down; starting
